"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A1";"Arduino_Micro_Socket";1;"Arduino_Micro_Socket (keypad)";;;
2;"A2";"Arduino_Micro_Socket";1;"Arduino_Micro_Socket (display)";;;
3;"A3";"ADA3708_RPI-ZERO";1;"ADA3708 (Raspberry Pi Zero WH)";;;
4;"U1";"XL6009_module";1;"XL6009 boost converter (12V for coin validator)";;;
5;"U2";"DIP-8_W7.62mm";1;"TDA2822M dual audio amplifier";;;
6;"R1,R2";"Resistor_SMD:R_0805_2012Metric";2;"4.7k (C17673 JLCPCB basic)";C17673;
7;"C7";"CP_Radial_D5.0mm_P2.00mm";1;"100uF 16V (TDA2822 ch A output coupling)";;;
8;"C11";"CP_Radial_D5.0mm_P2.00mm";1;"100uF 16V (TDA2822 ch B output coupling)";;;
9;"C6";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF (TDA2822 ch A input coupling)";C49678;
10;"C9";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF (TDA2822 ch B input coupling)";C49678;
11;"C12";"CP_Radial_D5.0mm_P2.00mm";1;"100uF 16V (TDA2822 Vcc bypass)";;;
12;"C8";"CP_Radial_D5.0mm_P2.00mm";1;"4.7uF (TDA2822 ripple rejection)";;;
13;"C10";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF (TDA2822 Vcc decoupling)";C49678;
14;"C1,C2,C3,C4,C5";"C_Disc_D5.0mm_W2.5mm_P5.00mm";5;"100nF decoupling (THT)";C49678;
15;"D1,D2,D3";"D_DO-201AD_P12.70mm_Horizontal";3;"P6KE6.8CA (600W bidirectional TVS, signal-to-GND, THT DO-201AD)";;;
16;"Q1";"Package_TO_SOT_SMD:SOT-23";1;"AO3401A P-ch MOSFET (reverse polarity, SOT-23, C15127 JLCPCB basic)";C15127;
17;"F1";"footprints:Fuse_Radial_D10.0mm_P5.00mm";1;"1A PTC resettable fuse (radial THT, pin-compatible with CP_Radial_D10mm_P5mm)";;;
18;"D4";"LED_SMD:LED_0603_1608Metric";1;"Red power LED (0603, C2286 JLCPCB basic)";C2286;
19;"R3";"Resistor_SMD:R_0805_2012Metric";1;"1k LED current limit (C17513 JLCPCB basic)";C17513;
20;"R4,R5";"Resistor_SMD:R_0805_2012Metric";2;"1k Pi GPIO to Arduino reset (C17513 JLCPCB basic)";C17513;
21;"J1";"IDC-Header_2x05_P2.54mm_Vertical";1;"coin";;;
22;"J2";"IDC-Header_2x10_P2.54mm_Vertical";1;"keypad";;;
23;"J3";"IDC-Header_2x13_P2.54mm_Vertical";1;"display";;;
24;"J4";"RJ9_Evercom_5301-440xxx_Horizontal";1;"RJ9 (handset)";;;
25;"J5";"AUDIO-TH_HOOYA_PJ-320";1;"mic";;;
26;"J6";"IDC-Header_2x07_P2.54mm_Vertical";1;"card_reader";;;
27;"J7";"AUDIO-TH_HOOYA_PJ-320";1;"speaker";;;
28;"TP1,TP2,TP3,TP4,TP5";"TestPoint_Loop_D2.50mm_Drill1.0mm";5;"Test points THT (5V_MAIN, Pi 3.3V, GND, SDA, SCL)";;;
